actual_kv_memory_mb,candidate_status,compression_factor,count,failed_gate_reasons,gate_status,kl_divergence,logit_cosine,max_logit_delta,metadata,model_id,name,notes,promotion_eligible,real_cache_used,size_ratio,tokens_per_sec,top10_overlap,top1_match,top5_overlap,total_ms,working_set_memory_mb
0.05859375,CONTROL,1.0,2,[],PASS_NO_PROMOTE,0.0,1.0,0.0,"{'models_requested': 1, 'models_loaded': 1, 'candidates_requested': 2, 'candidates_completed': 4, 'baseline_completed': True, 'run_valid': True}",unknown,dense_mlx_baseline,FP16 dense baseline — no compression applied,False,False,1.0,123.37777005607381,1.0,1.0,1.0,551.0845004992007,970.454149723053
0.328125,EXPERIMENTAL,2.0,2,[],PENDING_LOGIT_GATE,,,,,unknown,rfsn_direct_packed_k8v8_gs64,"Direct packed attention with K8/V8 quantization (strict mode) [memory is estimated, not runtime-measured]  [text heuristic: diverged at token 13 — logit gate pending] | Direct packed attention with K8/V8 quantization (strict mode) [memory is estimated, not runtime-measured]  [text heuristic: diverged at token 6 — logit gate pending]",False,True,0.5,5.4938387660871015,,,,9284.923854000226,1543.2874026298523
