actual_kv_memory_mb,cache_backend_used,candidate_status,compression_factor,count,dense_fallback_calls,error,execution_backend,failed_gate_reasons,full_history_materialization_calls,gate_status,kl_divergence,logit_cosine,max_logit_delta,measurement_kind,model_id,name,notes,packed_attention_calls,packed_blocks_created,packed_blocks_read,packed_bytes_read,packed_bytes_written,promotion_blocked_reason,promotion_eligible,real_cache_used,size_ratio,tokens_per_sec,top10_overlap,top1_match,top5_overlap,total_ms,working_set_memory_mb
0.05859375,,CONTROL,1.0,2,0,,,[],0,PASS_NO_PROMOTE,0.0,1.0,0.0,ESTIMATED,unknown,dense_mlx_baseline,FP16 dense baseline — no compression applied,0,0,0,0,0,,False,False,1.0,270.7914472123023,1.0,1.0,1.0,258.42322900280124,273.71153926849365
0.29296875,mlx_lm_quantized_kv,CONTROL,2.0,2,0,,,['top10_overlap 0.888 < 0.9'],0,FAIL,0.01544351619668305,0.9999504387378693,2.6796875,ESTIMATED,unknown,mlx_lm_quantized_kv_b8,MLX-LM built-in 8-bit KV quantization | MLX-LM built-in 8-bit KV quantization  [logit gate failed: top10_overlap 0.888 < 0.9],0,0,0,0,0,,False,True,0.5,127.41305582158716,0.919,0.97,0.9199999999999999,355.42062500462634,273.5882349014282
0.314208984375,rfsn_v10_direct_packed,EXPERIMENTAL,2.0,2,0,,packed_metal_plus_staging,[],0,PASS_NO_PROMOTE,0.006459410768002272,0.9999790191650391,1.7012939453125,MEASURED,unknown,rfsn_direct_packed_k8v8_gs64_bs8,Direct packed attention with K8/V8 quantization (strict mode) [memory measured from cache tensors],2280,312,8136,17183232,678912,global promotion lock active; token provenance and runtime-instrumented traces incomplete,False,True,0.5,15.095534009813658,0.947,0.98,0.94,3387.48622899584,291.6052141189575
